"","gene","ESC","EpiLC","q.value.ESC.EpiLC"
"1","Lypla1",71.9789,52.4256,0.0670997
"2","Tcea1",87.9562,89.7419,0.952829
"3","Atp6v1h",28.0293,32.6562,0.509668
"4","Oprk1",0.0464703,0.349867,1
"5","Rb1cc1",7.48403,9.30351,0.303715
"6","Fam150a",0,0.0165795,1
"7","St18",0.00454454,0.0198182,1
"8","Pcmtd1",22.9494,35.1645,0.00650984
"9","Rrs1",51.1193,23.8635,0.000682861
"10","Adhfe1",1.10727,0.517242,0.0107095
"11","3110035E14Rik",0.0052173,0.00728642,1
"12","1700034P13Rik",6.22904,4.21636,0.637575
"13","Sgk3",4.6246,2.13914,0.000682861
"14","6030422M02Rik",3.15181,2.69602,0.639953
"15","Cspp1",11.622,11.1976,0.913595
"16","Prex2",4.07398,2.62671,0.0179859
"17","A830018L16Rik",1.77337,2.49298,0.1805
"18","4932411L15",144.071,37.0843,0.000682861
"19","Sulf1",11.3531,28.5279,0.000682861
"20","Xkr9",0.0507808,0.00944559,1
"21","Kcnb2",0,0.00225649,1
"22","Terf1",115.783,96.1569,0.350211
"23","Rdh10",2.41773,2.40862,0.993174
"24","D030040B21Rik",0.868796,1.34733,0.125199
"25","Tmem70",12.0451,13.6086,0.676694
"26","Ly96",0.953092,0.660208,0.548036
"27","Gdap1",0.0289321,0.0345966,1
"28","Pi15",1.19045,1.00536,0.619902
"29","Crispld1",0.159742,0.642388,0.000682861
"30","Tfap2d",0,0.0220672,1
"31","Tfap2b",0.0211421,0.020736,1
"32","4930486I03Rik",0.132536,0.0606629,1
"33","Mir206",0,0,1
"34","Mir133b",0,0,1
"35","Il17a",0,0,1
"36","Paqr8",2.7296,0.536751,0.000682861
"37","Efhc1",1.27032,2.13584,0.0647516
"38","Tmem14a",2.4571,2.2842,0.892894
"39","Gsta3",9.36031,1.10839,0.000682861
"40","Khdc1a",0,0.00622152,1
"41","Khdc1c",0,0,1
"42","Khdc1b",0,0.01246,1
"43","Mir30a",0,0,1
"44","Mir30c-2",0,0,1
"45","B3gat2",0.181752,0.243657,1
"46","Col9a1",0.00484145,0.0389221,1
"47","Lmbrd1",2.32452,2.16463,0.856538
"48","Lgsn",0.0151662,0,1
"49","4930521A18Rik",0,0,1
"50","Gm4850",0.276794,0.10793,1
"51","Khdrbs2",0.0390462,0.0388677,1
"52","1700001G17Rik",0.142821,0.204471,1
"53","Rab23",12.169,12.328,0.972017
"54","Dst",36.9988,24.5046,0.0107095
"55","Imp4",45.0694,27.4205,0.00180283
"56","Ptpn18",0.469903,4.16887,0.000682861
"57","Prss39",0,0.0436864,1
"58","Cfc1",0.0681207,1.13311,0.136793
"59","Fam123c",0,0.112633,1
"60","Arhgef4",1.72673,3.35814,0.0036817
"61","Plekhb2",13.4162,8.00402,0.00494551
"62","Hs6st1",35.1324,27.0596,0.148733
"63","Arid5a",0.853031,1.1325,0.321005
"64","Cnnm4",1.88309,3.73551,0.000682861
"65","Cnnm3",6.79282,9.00336,0.148297
"66","Cox5b",348.04,313.71,0.668449
"67","4933424G06Rik",0.0278907,0.0235151,1
"68","Zap70",1.50579,2.50957,0.053503
"69","Cnga3",1.12264,2.36625,0.00126911
"70","Inpp4a",2.76442,3.37894,0.458505
"71","Unc50",16.6367,16.0482,0.927739
"72","Lipt1",4.78,5.60712,0.627715
"73","Mrpl30",60.8442,73.4498,0.401227
"74","Eif5b",41.8455,28.5208,0.0486076
"75","Nms",0,0,1
"76","Pdcl3",32.2979,27.5293,0.492645
"77","Npas2",0.15135,0.0914419,1
"78","Rpl31",707.098,621.054,0.578733
"79","D1Bwg0212e",26.1881,13.4745,0.000682861
"80","Map4k4",48.6321,29.2486,0.000682861
"81","Il1r2",0.291565,0.677515,0.0370193
"82","Il1r1",0.118033,0.149812,1
"83","Il1rl2",0.0891441,0.128553,1
"84","Il1rl1",0.686669,0.592974,0.718699
"85","Il18r1",0.195752,0.247734,1
"86","Il18rap",0,0,1
"87","Slc9a4",0,0,1
"88","Slc9a2",0.172921,0.107239,1
"89","Tmem182",0,0,1
"90","Pou3f3",0.217563,0.0609885,1
"91","2900092D14Rik",0.371183,0.276912,1
"92","Mrps9",52.0422,38.0684,0.0790827
"93","Gpr45",0.00284948,0.00345052,1
"94","AI597479",9.51592,13.1286,0.0930148
"95","Nck2",6.07287,9.39501,0.0223973
"96","1500015O10Rik",0.0901228,0.558951,0.191177
"97","Tpp2",46.7522,40.9164,0.571474
"98","Bivm",5.8863,6.9031,0.548192
"99","Ercc5",8.40574,12.0102,0.049031
"100","Gulp1",1.33531,2.61117,0.00866704
"101","Col3a1",0,0.0104144,1
"102","Wdr75",85.2475,80.4977,0.841434
"103","Dnahc7b",0.0157496,0.0771059,1
"104","Tmeff2",0.174054,0.361922,1
"105","Sdpr",0.00376824,0,1
"106","Stat4",2.68474,0.836569,0.000682861
"107","Stat1",4.20846,1.75804,0.000682861
"108","Tmem194b",5.35927,9.25063,0.0036817
"109","Hibch",12.5877,15.9994,0.289851
"110","Mstn",0,0,1
"111","Ormdl1",11.3648,12.982,0.647557
"112","Osgepl1",4.01877,6.48484,0.0252628
"113","Ccdc150",0.0730936,0.188108,1
"114","Coq10b",9.2681,8.13733,0.675668
"115","Hspe1",430.878,497.498,0.505543
"116","Mob4",15.4205,19.5538,0.250963
"117","Mars2",7.78526,2.95286,0.000682861
"118","Plcl1",0.0366409,0.0406521,1
"119","9130227L01Rik",0.395249,0.358228,1
"120","9130024F11Rik",1.11961,0.307309,0.000682861
"121","1700066M21Rik",4.7774,4.46567,0.856587
"122","9430016H08Rik",15.2307,12.3092,0.512898
"123","Spats2l",1.07692,1.12092,0.938782
"124","Sgol2",37.8652,32.2164,0.464203
"125","Aox1",0.394853,0.454156,0.768934
"126","Aox3",4.79364,0.232936,0.000682861
"127","Aox4",0.0797807,0.413326,1
"128","Aox3l1",0.00583918,0.0192333,1
"129","Bzw1",193.396,164.533,0.432683
"130","Nif3l1",23.5182,21.0369,0.675212
"131","Ndufb3",73.8265,71.0545,0.916598
"132","Gm20257",0.763881,1.1424,0.329164
"133","Cflar",2.05052,3.89344,0.00761292
"134","Casp8",0.675977,0.833618,0.628085
"135","Stradb",3.38859,4.80547,0.15985
"136","Cdk15",0.0763654,0.173863,1
"137","Fzd7",20.3067,42.5665,0.000682861
"138","Gm973",0.258923,0.718094,0.00277728
"139","Nop58",191.957,156.928,0.293655
"140","Snord70",167.296,121.999,0.518116
"141","Snord11",0,31.1781,1
"142","Bmpr2",4.49074,7.74364,0.00323854
"143","Fam117b",8.23587,16.6898,0.000682861
"144","Carf",1.6108,2.06818,0.870196
"145","Nbeal1",4.71075,5.99655,0.233656
"146","Cyp20a1",11.6066,18.2153,0.0174328
"147","Abi2",9.93582,16.9301,0.000682861
"148","Cd28",0.0225776,0.0109277,1
"149","Ctla4",0.00900751,0,1
"150","Icos",0.00334978,0.0154299,1
"151","9530026F06Rik",0.26937,0.545118,0.241314
"152","Pard3b",0.0729867,0.0643017,1
"153","Nrp2",3.30493,0.458594,0.000682861
"154","Gm11602",1.29624,0.880788,0.908358
"155","Eef1b2",451.266,502.032,0.664042
"156","Snora41",71.6652,98.2913,0.688995
"157","Zdbf2",15.9244,10.27,0.00494551
"158","Adam23",28.1083,28.2112,0.991563
"159","Fastkd2",19.7805,15.3386,0.20176
"160","Gm13749",0,0,1
"161","Creb1",7.1529,9.23695,0.18548
"162","Ccnyl1",13.2513,11.7468,0.64545
"163","Pikfyve",8.22846,9.25822,0.617624
"164","Pth2r",0.0046219,0.0462384,1
"165","Crygf",0,0,1
"166","Mtap2",1.06052,0.984074,0.867188
"167","Unc80",0.00511685,0.0492195,1
"168","Rpe",26.8483,22.8338,0.529961
"169","Cps1",0.194429,0.105983,1
"170","Spag16",0.198476,0.221811,1
"171","Vwc2l",0,0,1
"172","Atic",105.468,97.4528,0.776406
"173","Apol7d",0.538287,0.413487,1
"174","Gm8883",1.1517,0.871555,0.582571
"175","Tmem169",0.0327621,0.0684672,1
"176","Xrcc5",73.3254,46.837,0.00323854
"177","Smarcal1",6.1051,4.66065,0.173537
"178","Rpl37a",950.319,814.847,0.460059
"179","Igfbp2",452.679,472.201,0.898208
"180","1700027A15Rik",0,0,1
"181","D530049I02Rik",0.370499,0.0977096,1
"182","Rufy4",0.080049,0.165927,1
"183","Cxcr2",8.18873,13.716,0.00323854
"184","Arpc2",74.2875,67.0822,0.683356
"185","Gpbar1",0.0745981,0.249193,1
"186","Pnkd",41.7554,23.5732,0.0655194
"187","Gm216",1.38507,0.140201,0.000682861
"188","Slc11a1",1.34259,1.10956,0.630543
"189","Ctdsp1",17.7684,6.82177,0.000682861
"190","Mir26b",0,9.66529,1
"191","Vil1",0.564018,1.18211,0.85622
"192","Rqcd1",54.1167,55.1965,0.968229
"193","Plcd4",0.189537,1.90124,0.558139
"194","Bcs1l",14.9183,6.83133,0.000682861
"195","Stk36",1.62168,0.774284,0.00277728
"196","Ttll4",13.0394,13.2071,0.974041
"197","Cyp27a1",0.285221,2.29976,0.000682861
"198","Wnt6",0.605582,0.482363,0.608608
"199","Wnt10a",0.00987937,0.148928,1
"200","Cdk5r2",2.69211,15.1436,0.000682861
"201","Fam134a",5.42643,11.5645,0.000682861
"202","Zfand2b",8.55851,8.78808,0.951929
"203","Ankzf1",10.3635,9.49416,0.813826
"204","Stk16",13.993,9.63909,0.526343
"205","Dnajb2",5.6605,8.10792,0.107751
"206","Des",4.61345,6.38377,0.170254
"207","Speg",0.903392,4.03873,0.000682861
"208","Gmppa",23.152,18.1257,0.251998
"209","Accn4",0.00297866,0.014088,1
"210","Tmem198",0.851708,0.311024,0.00494551
"211","Inha",0.959331,0.696888,0.457428
"212","Stk11ip",8.31192,7.79657,0.839503
"213","Slc4a3",0.99743,1.4409,0.1457
"214","Gm17751",0.00567284,0.00884422,1
"215","Sgpp2",1.19292,1.70679,0.179689
"216","Mogat1",0,0.0108323,1
"217","Acsl3,Utp14b",28.8407,47.9321,0.000682861
"218","Kcne4",0,0,1
"219","Mrpl44",29.4195,23.6102,0.307955
"220","1700016L21Rik",0,0,1
"221","9430031J16Rik",0,0,1
"222","Rhbdd1",3.54227,2.8031,0.391563
"223","Col4a3",0.0171381,0.0246638,1
"224","Mff",31.0843,29.9131,0.904855
"225","Agfg1",57.0331,31.0984,0.000682861
"226","Ccl20",0.0370998,0.072873,1
"227","Wdr69",0,0.0279648,1
"228","Mir5126",0,0,1
"229","Fbxo36",2.00779,1.63976,0.660511
"230","Gm7609",3.17837,2.70697,0.672034
"231","Sp140",1.17875,1.60698,0.458505
"232","Sp100",0.0500205,0.232247,1
"233","Cab39",27.8453,41.5489,0.0129522
"234","Itm2c",11.3719,27.1485,0.000682861
"235","4933407L21Rik",0.0216157,0,1
"236","Spata3",0,0.0745491,1
"237","2810459M11Rik",0.0843646,2.27995,0.000682861
"238","Psmd1",132.17,120.601,0.716447
"239","Armc9",8.16867,7.21979,0.687747
"240","B3gnt7",20.9523,44.5945,0.000682861
"241","C130036L24Rik",2.00043,2.31134,0.741753
"242","1700019O17Rik",0.0237141,0.0922472,1
"243","Ptma",2135.54,1766.68,0.399426
"244","Cops7b",22.0791,17.8056,0.308087
"245","Dis3l2",7.39915,7.57836,0.952283
"246","Akp3",0.132421,0.0460031,1
"247","Prss56",0.0660029,0.173536,1
"248","Chrnd",0.0366284,0.137403,1
"249","Chrng",0.0346453,0.0772257,1
"250","Eif4e2",118.782,43.3945,0.000682861
"251","Efhd1",1.46905,0.786229,0.0492414
"252","Gigyf2",36.3961,30.545,0.380347
"253","3110079O15Rik",0.0786678,0.351105,1
"254","Neu2",0,0.00802083,1
"255","Inpp5d",29.1075,26.6107,0.727334
"256","Atg16l1",20.8826,16.7389,0.270042
"257","Scarna6",2.87568,2.00152,0.928716
"258","Sag",0.0641382,0.0666426,1
"259","Dgkd",16.8313,30.851,0.000682861
"260","Ugt1a1,Ugt1a10,Ugt1a2,Ugt1a5,Ugt1a6a,Ugt1a6b,Ugt1a7c,Ugt1a9",0.0186408,0.0348452,1
"261","Heatr7b1",0,0,1
"262","Trpm8",0.00280711,0.00298597,1
"263","Spp2",0.0222655,0,1
"264","Gm19589",0.201301,0.311285,1
"265","2410088K16Rik",3.34521,9.91547,0.000682861
"266","1700067G17Rik",0.0643448,0.169952,1
"267","Sh3bp4",12.8835,11.3718,0.621354
"268","Agap1",5.38219,5.23011,0.93496
"269","Cxcr7",3.78052,2.37365,0.0506316
"270","Cops8",31.9443,33.4016,0.890153
"271","Mlph",0.143015,0.145174,1
"272","Prlh",0,0,1
"273","Lrrfip1",4.51052,18.4828,0.000682861
"274","Rbm44",1.24929,5.38341,0.000682861
"275","Ramp1",0.0375341,0.0341142,1
"276","Ube2f",19.2547,27.9369,0.0473469
"277","Scly",6.6902,5.33176,0.360033
"278","Espnl",0.0579821,0.283189,1
"279","Klhl30",0.00915444,0.115658,1
"280","Fam132b",0.633953,3.26326,0.000682861
"281","Traf3ip1",8.25523,5.50842,0.039127
"282","Asb1",4.96683,3.05258,0.00573706
"283","Twist2",0,0.061623,1
"284","Olfr1413",0,0,1
"285","Olfr1412",0,0,1
"286","Olfr1411",0,0,1
"287","Olfr1410",0,0,1
"288","Olfr12",0,0,1
"289","Gpc1",8.19684,8.45569,0.932957
"290","Mir149",0,0,1
"291","Dusp28",3.14714,2.75318,0.736072
"292","Rnpepl1",7.9134,5.50154,0.0653205
"293","Capn10",6.69172,7.10298,0.865374
"294","Gpr35",0.393146,0.611809,0.153688
"295","Aqp12",0,0,1
"296","Agxt",0,0.0259271,1
"297","Sned1",2.22211,2.9938,0.21762
"298","Ppp1r7",25.6495,19.8664,0.163225
"299","Ano7",0.083695,0.360881,1
"300","Sept2",103.902,109.824,0.853376
"301","Farp2",0.611442,0.346305,0.751864
"302","Bok",2.65215,8.60259,0.000682861
"303","Atg4b",14.2496,11.421,0.308819
"304","Ing5",24.0883,22.0486,0.732778
"305","D2hgdh",5.00348,7.52245,0.0377192
"306","Gal3st2",0.0777921,0.122789,1
"307","Gm9994",0,0,1
"308","Gm6086",0.10297,0.126218,1
"309","Neu4",0.015426,0.0132923,1
"310","4930440C22Rik",0,0,1
"311","Fam174a",1.99739,2.9984,0.137256
"312","Gin1",5.16634,2.75942,0.00573706
"313","1810006J02Rik",0,0,1
"314","Slco6d1",0,0,1
"315","Cntnap5b",0,0,1
"316","Gm20268",0.0298965,0.0159007,1
"317","Cdh20",0.0304403,0.037089,1
"318","2310035C23Rik",10.0997,7.39172,0.0956842
"319","Tnfrsf11a",0.452465,0.662472,0.202723
"320","Zcchc2",8.26548,8.3596,0.974642
"321","Phlpp1",3.94832,3.39006,0.552342
"322","Serpinb5",0.0291411,0.0798374,1
"323","Serpinb12",0,0,1
"324","Serpinb13",0.195908,0.135084,1
"325","Serpinb11",0,0,1
"326","Serpinb7",0,0,1
"327","Serpinb2",0,0,1
"328","Serpinb10-ps",0.0111781,0.00349372,1
"329","Serpinb8",0.211257,0.156742,1
"330","Cdh7",0.00324453,0.0216393,1
"331","Cntnap5a",0,0,1
"332","Mki67ip",67.755,46.4768,0.0288219
"333","Clasp1",12.2627,12.6719,0.916511
"334","Tfcp2l1",135.148,6.21996,0.000682861
"335","Tmem185b",4.19171,2.34514,0.00795595
"336","Sctr",0.00594405,0.0126456,1
"337","3110009E18Rik",4.50926,7.21489,0.156534
"338","C1ql2",0,0,1
"339","En1",0.244863,0.0110227,0.488023
"340","B230209K01Rik",0,0.0333858,1
"341","Ccdc93",6.47614,3.94788,0.00411009
"342","Slc35f5",6.77632,11.266,0.00650984
"343","Gpr39",0.0311898,0.0181296,1
"344","Mgat5",3.63092,3.0085,0.501756
"345","Acmsd",0.462227,0.540294,0.830364
"346","Ccnt2",40.4493,38.2018,0.842144
"347","Rab3gap1",13.7681,12.6741,0.770102
"348","R3hdm1",23.9496,34.1569,0.227501
"349","Mir128-1",0,18.9546,1
"350","Ubxn4",21.1998,19.0258,0.662169
"351","Thsd7b",0.0230057,0.0112006,1
"352","Yod1",2.41649,1.4084,0.252706
"353","AA986860",1.56068,0.141519,0.000682861
"354","Fcamr",0.043773,0,1
"355","Pigr",0.0426487,0.0327066,1
"356","Faim3",0,0,1
"357","Il10",0.070769,2.18736,0.161321
"358","Eif2d",81.5431,52.6768,0.00612784
"359","Fam72a",3.88958,3.54013,0.812763
"360","Avpr1b",0.0246508,0.0286024,1
"361","Ctse",0,0,1
"362","5430435G22Rik",0.0517381,0.0330391,1
"363","Slc26a9",0.0519595,0.143965,1
"364","Pm20d1",2.0268,2.84294,0.180056
"365","Slc41a1",11.3062,6.68304,0.000682861
"366","Rab7l1",5.87367,2.18087,0.000682861
"367","Nucks1",131.723,73.6279,0.000682861
"368","Slc45a3",2.20937,2.78904,0.421865
"369","Elk4",4.12694,4.23126,0.95489
"370","Lemd1",0.394908,0.0783743,0.436457
"371","Mir135b",0,0,1
"372","Klhdc8a",0.087744,0.0631133,1
"373","Nuak2",2.41678,5.93429,0.000682861
"374","Dstyk",3.39949,2.01877,0.00494551
"375","Rbbp5",39.3019,18.9883,0.000682861
"376","Tmem81",3.6477,1.98417,0.0138802
"377","Gm10538",0.00609701,0.130002,1
"378","Lrrn2",4.10936,0.214624,0.000682861
"379","Pik3c2b",2.11152,1.7032,0.389789
"380","Ppp1r15b",36.6215,25.4124,0.0265331
"381","Plekha6",0.572602,0.57127,0.995837
"382","Golt1a",0.0908293,0.0266326,1
"383","Kiss1",1.36791,0,0.000682861
"384","Ren1,Ren2",0.0969784,0.170495,1
"385","Etnk2",3.99011,2.46795,0.044561
"386","Fmod",0,0.00409297,1
"387","Chit1",0.106382,0.0438094,1
"388","Chi3l1",0.132015,0.150083,1
"389","Mybph",0.10968,0,1
"390","Myog",0.00799997,0.174131,1
"391","4933406M09Rik",0.100926,0,1
"392","Cyb5r1",67.8971,124.214,0.000682861
"393","Adipor1",51.6703,71.6942,0.0516322
"394","Klhl12",18.1969,20.6203,0.605267
"395","Rabif",32.852,20.3665,0.00573706
"396","Kdm5b",113.835,98.6095,0.510756
"397","Syt2",0.0901715,0.0973958,1
"398","Ube2t",22.1859,60.0708,0.000682861
"399","Ptpn7",0.378829,0.816601,0.00901637
"400","Arl8a",17.6633,19.2737,0.767449
"401","Lmod1",0.185665,0.743701,0.000682861
"402","Csrp1",28.0487,15.4713,0.000682861
"403","Phlda3",25.7354,24.5973,0.901144
"404","Tnni1",0.129618,0.523367,0.0691938
"405","Lad1",0.604541,6.2041,0.000682861
"406","Tnnt2",0.0858405,0.284008,1
"407","Tmem9",18.6535,24.0576,0.217731
"408","Cacna1s",0.219066,0.133449,1
"409","Kif21b",1.65055,2.34184,0.0848168
"410","Ddx59",8.26314,4.30783,0.000682861
"411","Kif14",9.03413,8.55463,0.857432
"412","Zfp281",28.4651,22.8664,0.254507
"413","Gm19705",13.3547,18.169,0.323985
"414","Gm16880",2.07608,12.4456,0.000682861
"415","Mir181a-1",0,0,1
"416","Mir181b-1",0,0,1
"417","Atp6v1g3",0.0810033,0.13741,1
"418","Dennd1b",5.7837,6.83979,0.457499
"419","4933436E23Rik",0,0,1
"420","Zbtb41",3.59225,3.31694,0.807555
"421","Aspm",19.7302,15.9094,0.251148
"422","F13b",0,0,1
"423","Kcnt2",0.165561,0.494829,0.0504882
"424","B3galt2",0.134639,0.196698,1
"425","Glrx2",8.04089,7.7603,0.924721
"426","Uchl5",60.8809,54.6231,0.660104
"427","Fam5c",0.0883197,0.00422103,1
"428","Ptgs2",0.0690022,0.00551605,1
"429","Pdc",0.02968,0.0428815,1
"430","Tpr",78.8504,68.768,0.555554
"431","C730036E19Rik",0.0706671,0.0540961,1
"432","Ivns1abp",60.2924,70.769,0.453716
"433","1190005F20Rik",9.9419,9.26096,0.83046
"434","Fam129a",7.59905,5.46241,0.0942194
"435","Edem3",12.4983,9.3268,0.099763
"436","Glt25d2",0.335847,0.0150572,1
"437","Apobec4",0.016325,0.00797314,1
"438","Arpc5",41.2158,35.4911,0.504334
"439","Ncf2",2.0928,1.6952,0.530714
"440","Nmnat2",11.5019,6.41852,0.00230466
"441","1700012A16Rik",0.407599,0.543981,0.509607
"442","Rgs8",0.0353005,0.0755334,1
"443","Rgs16",0.320073,0.965219,0.00126911
"444","Rnasel",0.291482,0.472972,0.122179
"445","Gm5531",1.34145,2.31697,0.0332026
"446","Teddm1",0,0,1
"447","Glul",69.7332,41.3136,0.00230466
"448","Zfp648",0,0.0127152,1
"449","Stx6",9.5729,10.0613,0.884988
"450","Acbd6",27.6496,31.6519,0.629158
"451","Tor1aip2",52.9833,42.4801,0.340678
"452","Nphs2",0.0120706,0.019533,1
"453","Abl2",14.316,21.9566,0.00494551
"454","Angptl1",0.0536352,0.161067,1
"455","2810025M15Rik",29.814,35.3905,0.620484
"456","BC026585",3.16583,5.65399,0.0177048
"457","Sec16b",0.019956,0.0265901,1
"458","Astn1",0.0778213,0.129319,1
"459","Mir488",0,0,1
"460","Rfwd2",13.5423,14.4542,0.824966
"461","Scarna3a",4.45302,19.9034,0.812676
"462","Tnr",0.00692595,0.00656506,1
"463","4930523C07Rik",0.0230026,0.0429645,1
"464","Mrps14",20.3693,20.5558,0.981671
"465","Rc3h1",6.28018,7.26825,0.523902
"466","Serpinc1",0.0778992,0.0669506,1
"467","Gas5,Mir5117",74.1068,51.7263,0.0234629
"468","Snord47",1311.21,886.77,0.952233
"469","Cenpl",9.91773,9.00264,0.791664
"470","Ankrd45",4.06036,0.400114,0.000682861
"471","Tnfsf4",0,0.0246282,1
"472","Tnfsf18",0,0.113385,1
"473","Pigc",1.68754,1.58671,0.895783
"474","2810442N19Rik",0.0217228,0.014371,1
"475","Dnm3os",0.118893,0.168885,1
"476","Vamp4",3.22827,3.60606,0.766064
"477","Myoc",0,0,1
"478","Kifap3",20.6018,15.8678,0.167873
"479","Scyl3",7.53626,5.6241,0.563779
"480","2810422O20Rik",8.51235,7.43046,0.678001
"481","Sele",0,0.00401292,1
"482","Sell",0.00947923,0,1
"483","Selp",0.0158082,0.01701,1
"484","F5",0.112206,0.146688,1
"485","Slc19a2",23.7336,26.5866,0.643631
"486","4930455F23Rik",3.40881,5.35912,0.044771
"487","Nme7",29.7867,19.8124,0.44858
"488","Dpt",0,0,1
"489","LOC433374",0,0,1
"490","Gpr161",0.840058,0.842148,0.993257
"491","Brp44",11.7081,8.24515,0.169129
"492","Adcy10",0.0449602,0.0379846,1
"493","Creg1",5.01279,6.23472,0.404647
"494","Cd247",0.0413222,0.0711466,1
"495","Gpa33",50.8744,20.6096,0.000682861
"496","Ildr2",0.0841326,0.349977,1
"497","Tada1",2.52925,0.870346,0.0668952
"498","Fam78b",0.135862,0.0793759,1
"499","Tmco1",7.33118,6.64948,0.728581
"500","Aldh9a1",32.4827,58.8116,0.000682861
"501","Rxrg",0.053048,1.26061,0.00126911
"502","Lmx1a",0.22946,0.129562,1
"503","Rgs5",0.0345569,0.0374213,1
"504","1700084C01Rik",0.42269,0.0574606,0.19948
"505","3110045C21Rik",0.067311,0.260186,1
"506","Sh2d1b2",0,0,1
"507","Sh2d1b1",0,0,1
"508","1700015E13Rik",0.0200099,0.127281,1
"509","Olfml2b",0.155011,0.181413,1
"510","Fcgr4",0.311783,0.542868,0.223345
"511","1700009P17Rik",0.592675,0.537438,0.888802
"512","Mpz",0.135226,0.156606,1
"513","Nr1i3",0.0233529,0.0100001,1
"514","Apoa2",0.134498,0.66312,0.168631
"515","Adamts4",0.696124,0.522562,0.405256
"516","B4galt3",13.3475,9.52245,0.0905159
"517","Dedd",12.5765,22.593,0.00230466
"518","Pfdn2",137.13,174.965,0.200344
"519","Pvrl4",0.275399,1.24873,0.000682861
"520","Arhgap30",9.23654,8.11106,0.609977
"521","Usf1",47.8536,62.5233,0.142788
"522","Tstd1",2.09303,10.1028,0.000682861
"523","F11r",22.3998,37.645,0.000682861
"524","Alyref2",2.01589,2.49834,0.571657
"525","Cd244",0.0610962,0.0266134,1
"526","Cd48",0,0,1
"527","Slamf1",0,0,1
"528","Cd84",15.4111,3.45296,0.000682861
"529","Slamf6",0.0855967,0.0245119,1
"530","Copa",59.8277,48.4757,0.315716
"531","Pex19",21.8477,39.526,0.000682861
"532","Dcaf8",22.3163,35.0573,0.00573706
"533","Igsf8",12.3161,21.1842,0.00126911
"534","Kcnj10",0.17946,0.0870357,1
"535","Pigm",8.43103,7.88412,0.823336
"536","Slamf9",0.486422,0.784184,0.285971
"537","Igsf9",4.32271,17.8051,0.000682861
"538","Tagln2",97.6607,57.5989,0.000682861
"539","Ccdc19",0.777432,0.181631,0.000682861
"540","Vsig8",0.00639388,0.0243336,1
"541","Crp",0.0514152,0.130272,1
"542","Olfr16",0,0,1
"543","Olfr218",0,0,1
"544","Olfr1404",0,0,1
"545","Olfr418-ps1",0,0,1
"546","Aim2",21.5412,13.4493,0.0123193
"547","Pyhin1",0.0093082,0.0305079,1
"548","Pydc3",0.422562,0.408563,1
"549","Olfr433",0,0,1
"550","Olfr432",0,0,1
"551","Olfr430",0,0,1
"552","Olfr429",0,0,1
"553","Olfr426",0,0,1
"554","Olfr424",0,0,1
"555","Olfr421",0,0,1
"556","Olfr420",0,0,1
"557","Spna1",2.15591,5.7875,0.000682861
"558","1810030J14Rik",0,0.0185761,1
"559","Olfr417",0,0,1
"560","Olfr248",0,0,1
"561","Olfr414",0,0,1
"562","Olfr220",0,0,1
"563","Fmn2",2.26663,1.15545,0.000682861
"564","Kmo",0.0089056,0,1
"565","Wdr64",0.916155,0.398066,0.00126911
"566","Exo1",19.0003,16.1332,0.448349
"567","Sdccag8",1.60901,1.25468,0.502071
"568","Zfp238",5.87341,7.21781,0.367616
"569","1700016C15Rik",0.193248,0.0790081,1
"570","Gm16432",0,0.0250755,1
"571","Pppde1",12.7977,11.5824,0.710626
"572","Fam36a",53.9852,48.6146,0.749138
"573","Efcab2",0.946022,1.57255,0.0833623
"574","Kif26b",0.0679758,0.0235671,1
"575","Cnst",4.79736,5.12447,0.846355
"576","Sccpdh",18.9898,11.7493,0.0116912
"577","Cdc42bpa",4.73626,4.56475,0.940225
"578","Itpkb",0.394332,0.969343,0.136949
"579","Parp1",234.406,176.467,0.10575
"580","Lin9",10.187,10.7864,0.871853
"581","Acbd3",12.4663,16.3071,0.164683
"582","BC031781",37.5683,21.2112,0.000682861
"583","Lefty2",26.3129,28.2562,0.819174
"584","Pycr2",52.5793,100.133,0.000682861
"585","Lefty1",23.8813,87.2107,0.000682861
"586","Tmem63a",1.53651,11.2403,0.000682861
"587","9130409I23Rik",0.0721303,0.0734611,1
"588","Cnih4",14.04,14.7133,0.885691
"589","Cnih3",0.0472472,0.122921,1
"590","Srp9",57.3398,52.7906,0.767468
"591","1700047M11Rik",0.0579704,0.0246277,1
"592","Trp53bp2",7.58884,9.65964,0.245081
"593","Capn8",0,0,1
"594","Susd4",2.62051,4.63782,0.0135632
"595","Tlr5",0.0828062,0.0111912,1
"596","Dusp10",2.22377,0.7987,0.000682861
"597","4930488B22Rik",0.0169723,0.0882932,1
"598","Rab3gap2",13.4146,11.1031,0.631153
"599","Mir664,Snora36b",0,2.7721,1
"600","Mir194-1",0,20.2526,1
"601","Mir215",0,2.95858,1
"602","Bpnt1",46.5424,23.6361,0.000682861
"603","Eprs",118.341,99.398,0.39479
"604","Slc30a10",0.402337,0.705696,0.0607284
"605","5033404E19Rik",1.20105,0.379218,0.0275616
"606","D1Pas1",10.5973,2.156,0.000682861
"607","1700007P06Rik",3.21151,2.15617,0.229665
"608","Gpatch2",6.80898,4.81161,0.0724089
"609","Esrrg",0.0211316,0.0459425,1
"610","Ush2a",0.00415347,0.00350805,1
"611","Ptpn14",3.30799,6.48986,0.000682861
"612","Angel2",11.9149,11.3505,0.889143
