"","gene","ESC","EpiLC","q.value.ESC.EpiLC"
"6639","Gm16291",0.00651077,0.00454643,1
"6640","AU022793",0.0144842,0.0186776,1
"6641","9330182O14Rik",0.038921,0.0615482,1
"6642","Zfpm2",0.115172,0.0468683,1
"6643","Oxr1",24.1085,30.8438,0.201398
"6644","Ttc35",62.773,37.0905,0.000682861
"6645","Trhr",0.0360251,0.047714,1
"6646","Eny2",14.1523,16.6477,0.731981
"6647","Pkhd1l1",0.00629179,0.00271931,1
"6648","Ebag9",4.87951,10.1195,0.000682861
"6649","2310069G16Rik",0.0334315,0.032958,1
"6650","A930017M01Rik",0.00508991,0.00704151,1
"6651","1700022A22Rik",0.015658,0,1
"6652","4930548G14Rik",0,0,1
"6653","Utp23",8.21259,8.10005,0.972921
"6654","Aard",41.2975,4.88123,0.000682861
"6655","Slc30a8",0.112991,0.047891,1
"6656","Med30",32.0235,31.5627,0.971209
"6657","Colec10",0,0,1
"6658","Mal2",0.0806491,2.08899,0.000682861
"6659","Nov",0.445032,0.412792,1
"6660","Deptor",12.8531,15.89,0.380643
"6661","Col14a1",0.0554341,0.0691639,1
"6662","Mtbp",12.4834,13.2171,0.85537
"6663","Has2as",0.153698,1.2434,0.420105
"6664","Zhx2",0.17254,0.152319,1
"6665","Wdr67",13.0488,13.49,0.925246
"6666","Fam83a",0.776362,1.01112,0.475691
"6667","Wdyhv1",9.73769,10.6406,0.797635
"6668","D15Ertd621e",28.9149,28.8955,0.997805
"6669","Trmt12",1.74597,0.570972,0.000682861
"6670","Rnf139",7.87485,8.82492,0.706917
"6671","Ndufb9",187.711,142.582,0.123186
"6672","Zfp572",0.0761552,0.0123379,1
"6673","Sqle",45.4603,80.2038,0.000682861
"6674","Nsmce2",36.9938,24.0537,0.0116912
"6675","Trib1",3.16037,5.01157,0.0156878
"6676","9930014A18Rik",0.131845,0.547668,0.0312718
"6677","Myc",11.5299,14.9517,0.339585
"6678","Pvt1",2.07751,2.73147,0.346465
"6679","1700065I16Rik",0,0,1
"6680","Gsdmcl1",0,0,1
"6681","Gsdmcl-ps",0,0.00629353,1
"6682","Efr3a",33.3401,25.0999,0.0996121
"6683","Phf20l1",3.40606,3.53242,0.924073
"6684","Tg",0.0187287,0.0147891,1
